track_id,frame_index,timestamp,x,y,zone_ids,confidence
1,0,,626.94,296.38,,0.948
1,1,,636.94,402.50,,0.948
1,2,,636.30,429.17,,0.948
1,3,,645.59,423.25,,0.948
2,0,,638.46,381.92,,0.882
2,1,,331.74,284.26,,0.882
2,2,,332.83,281.22,,0.882
2,3,,336.77,284.45,,0.882
3,0,,305.29,276.28,,0.976
3,1,,296.17,280.76,,0.976
3,2,,255.30,283.42,,0.976
3,3,,248.97,289.24,,0.976
4,0,,250.86,281.57,,0.788
4,1,,248.84,289.98,,0.788
4,2,,241.47,292.12,,0.788
4,3,,599.75,303.71,,0.788
5,0,,253.01,287.71,,0.985
5,1,,243.66,284.83,,0.985
5,2,,1229.28,535.23,,0.985
5,3,,1241.20,473.34,,0.985
6,0,,1218.55,540.78,,0.878
6,1,,1229.21,535.11,,0.878
6,2,,810.97,354.54,,0.878
6,3,,811.08,350.82,,0.878
7,0,,813.66,341.45,,0.938
7,1,,520.58,323.88,,0.938
7,2,,916.28,333.12,,0.938
7,3,,912.91,342.53,,0.938
8,0,,42.28,549.05,,0.576
8,1,,50.96,561.05,,0.576
8,2,,146.12,326.68,,0.576
8,3,,151.07,324.44,,0.576
9,0,,499.91,332.32,,0.974
9,1,,917.28,331.66,,0.974
9,2,,473.29,499.42,,0.974
9,3,,546.87,352.80,,0.974
10,0,,669.96,348.91,,0.547
10,1,,668.78,352.54,,0.547
10,2,,836.63,325.36,,0.547
10,3,,668.36,339.89,,0.547
11,0,,555.43,331.51,,0.917
11,1,,836.88,315.81,,0.917
11,2,,52.81,558.10,,0.917
11,3,,49.81,554.42,,0.917
12,0,,292.54,282.73,,0.965
12,1,,86.75,289.62,,0.965
12,2,,419.44,306.98,,0.965
12,3,,418.52,308.35,,0.965
13,0,,860.89,315.10,,0.985
13,1,,555.52,336.90,,0.985
13,2,,561.21,331.75,,0.985
13,3,,467.02,553.03,,0.985
14,0,,85.17,290.15,,0.918
14,1,,311.31,281.86,,0.918
14,2,,176.19,317.74,,0.918
14,3,,915.91,391.81,,0.918
15,0,,471.10,504.90,,0.892
15,1,,464.18,505.67,,0.892
15,2,,305.57,279.41,,0.892
15,3,,85.77,288.16,,0.892
16,0,,144.26,327.54,,0.747
16,1,,718.04,354.68,,0.747
16,2,,86.23,288.45,,0.747
16,3,,615.80,299.60,,0.747
17,0,,596.68,303.36,,0.767
17,1,,790.01,314.81,,0.767
17,2,,673.36,357.60,,0.767
17,3,,173.15,320.00,,0.767
18,0,,718.28,353.97,,0.952
18,1,,912.61,377.32,,0.952
18,2,,505.95,318.98,,0.952
18,3,,726.72,353.53,,0.952
19,0,,916.38,381.43,,0.858
19,1,,181.46,319.01,,0.858
19,2,,717.05,356.44,,0.858
19,3,,922.70,429.66,,0.858
20,0,,179.66,320.03,,0.940
20,1,,380.71,377.87,,0.940
20,2,,614.38,317.88,,0.940
20,3,,1070.21,390.02,,0.940
21,0,,765.27,313.94,,0.713
21,1,,751.29,317.05,,0.713
21,2,,922.85,400.59,,0.713
21,3,,603.59,320.48,,0.713
